编号[ID]	法克
281	褚益民
282	蔡武
283	蔡名照
284	蔡英挺
285	蔡赴朝
286	雒树刚
287	魏亮
288	魏凤和
289	于春生
290	马勇霞
291	王伟
292	王炜
293	王长河
294	王东峰
295	王立英
296	王仲田
297	王华庆
298	王会生
299	王怀臣
300	王忠民
301	王和民
302	王宜林
303	王晓龙
304	王家胜
305	王宾宜
306	王森泰
307	王瑞生
308	丹珠昂奔
309	尹晋华
310	石生龙
311	叶青纯
312	申维辰
313	付建华
314	冯惠敏
315	宁高宁
316	弘强
317	曲青山
318	曲淑辉
319	吕建成
320	任泽民
321	多杰热旦
322	刘滨
323	刘长银
324	刘生杰
325	刘向松
326	刘金国
327	刘建华
328	　刘晓滨
329	刘赐贵
330	江必新
331	安立敏
332	苏波
333	杜金富
334	李宁
335	李刚
336	李熙
337	李五四
338	李书磊
339	李玉赋
340	李兆前
341	李法泉
342	李建波
343	李适时
344	李秋芳
345	李家祥
346	杨立顺
347	杨志今
348	杨明生
349	杨晓渡
350	肖亚庆
351	吴刚
352	吴玉良
353	吴杰明
354	岑旭
355	邱学强
356	何平
357	余欣荣
358	辛维光　汪民
359	宋明昌
360	宋爱荣
361	宋璇涛
362	张力
363	张军
364	张勇
365	张立军
366	张纪南
367	张昌平
368	张晓兰
369	　张晓刚
370	陈伦
371	陈大卫
372	陈文清
373	陈训秋
374	陈建民
375	陈绪国
376	陈新权
377	苗华
378	金书波
379	周英
380	周泽民
381	周福启
382	郑国光
383	胡玉敏
384	胡问鸣
385	侯凯
386	侯长安
387	侯贺华
388	俞贵麟
389	姚增科
390	袁彦鹏
391	耿文清
392	耿燎原
393	柴绍良
394	徐敬业
395	郭永平
396	郭向远
397	黄先耀
398	黄建国
399	黄建盛
400	黄晓薇
401	黄殿中
402	曹培玺
403	崔少鹏
404	梁滨
405	董力
406	韩亨林
407	谢杭生
408	谢国明
409	　强卫东
410	臧献甫
411	熊维平
412	黎晓宏
413	布什
414	布莱尔
415	小泉
416	纯一郎
417	萨马兰奇
418	安南
419	阿拉法特
420	普京
421	默克尔
422	克林顿
423	里根
424	尼克松
425	林肯
426	杜鲁门
427	赫鲁晓夫
428	列宁
429	斯大林
430	马克思
431	恩格斯
432	金正日
433	金日成
434	萨达姆
435	胡志明
436	西哈努克
437	希拉克
438	撒切尔
439	阿罗约
440	曼德拉
441	卡斯特罗
442	富兰克林
443	华盛顿
444	艾森豪威尔
445	拿破仑
446	亚历山大
447	路易
448	拉姆斯菲尔德
449	劳拉
450	鲍威尔
451	奥巴马
452	本拉登
453	奥马尔
454	柴玲
455	达赖喇嘛
456	江青
457	张春桥
458	姚文元
459	王洪文
460	东条英机
461	希特勒
462	墨索里尼
463	冈村秀树
464	冈村宁次
465	高丽朴
466	赵紫阳
467	王丹
468	沃尔开西
469	李洪志
470	李大师
471	赖昌星
472	马加爵
473	班禅
474	额尔德尼
475	山本五十六
476	阿扁
477	阿扁万岁
478	热那亚
479	热比娅 
480	六四
481	六四运动
482	美国之音
483	密宗
484	民国
485	民进党
486	民运
487	民主
488	民主潮
489	摩门教
490	纳粹
491	南华早报
492	南蛮
493	明慧网
494	起义
495	亲民党
496	瘸腿帮
497	人民报
498	法轮功
499	法轮大法
500	打倒共产党
501	台独万岁
502	圣战
503	示威
504	台独
505	台独分子
506	台联
507	台湾民国
508	台湾岛国
509	台湾国
510	台湾独立
511	太子党
512	天安门事件
513	屠杀
514	新党
515	新疆独立
516	新疆分裂
517	新疆国
518	疆独
519	西藏独立
520	西藏分裂
521	西藏国
522	藏独
523	藏青会
524	藏妇会
525	学潮
526	学运
527	一党专政
528	一中一台
529	两个中国
530	一贯道
531	游行
532	造反
533	真善忍
534	镇压
535	政变
536	政治
537	政治反对派
538	政治犯
539	中共
540	共产党
541	反党
542	反共
543	政府
544	民主党
545	中国之春
546	转法轮
547	自焚
548	共党
549	共匪
550	苏家屯
551	基地组织
552	塔利班
553	东亚病夫
554	支那
555	高治联
556	高自联
557	专政
558	专制
559	世界维吾尔大会
560	核工业基地
561	核武器
562	铀
563	原子弹
564	氢弹
565	导弹
566	核潜艇
567	大参考
568	小参考
569	国内动态清样
570	多维
571	河殇
572	穆罕默德
573	耶和华
574	耶稣
575	伊斯兰
576	真主安拉
577	白莲教
578	天主教
579	基督教
580	东正教
581	占中
582	占领中环
583	七宗罪
584	中国
585	大法
586	法轮
587	真理教
588	走向圆满
589	黄大仙
590	跳大神
591	神汉
592	神婆
593	大卫教
594	阎王
595	黑白无常
596	牛头马面
597	高丽棒子
598	蒙古鞑子
599	老毛子
600	回民吃猪肉
601	谋杀
602	杀人
603	吸毒
604	贩毒
605	赌博
606	拐卖
607	走私
608	卖淫
609	强奸
610	轮奸
611	抢劫
612	先奸后杀
613	下注
614	抽头
615	坐庄
616	赌马
617	赌球
618	筹码
619	老虎机
620	轮盘赌
621	安非他命
622	大麻
623	可卡因
624	海洛因
625	冰毒
626	摇头丸
627	杜冷丁
628	鸦片
629	罂粟
630	迷幻药
631	白粉
632	嗑药
633	AIDS
634	DICK
635	penis
636	sex
637	SM
638	屙
639	爱滋
640	淋病
641	梅毒
642	爱液
643	屄
644	逼
645	臭机八
646	臭鸡巴
647	吹喇叭
648	吹箫
649	催情药
650	屌
651	肛交
652	肛门
653	龟头
654	黄色
655	机八
656	机巴
657	鸡八
658	鸡巴
659	机掰
660	鸡叭
661	鸡鸡
662	鸡掰
663	鸡奸
664	妓女
665	奸
666	茎
667	精液
668	精子
669	尻
670	口交
671	滥交
672	乱交
673	屁眼
674	嫖娼
675	强奸犯
676	情色
677	肉棒
678	乳房
679	乳峰
680	乳交
681	乳头
682	乳晕
683	三陪
684	色情
685	射精
686	手淫
687	威而钢
688	威而柔
689	伟哥
690	性高潮
691	性交
692	性虐
693	性欲
694	穴
695	颜射
696	阳物
697	一夜情
698	阴部
699	阴唇
700	阴道
701	阴蒂
702	阴核
703	阴户
704	阴茎
705	阴门
706	淫
707	淫秽
708	淫乱
709	淫水
710	淫娃
711	淫液
712	淫汁
713	淫穴
714	淫洞
715	援交妹
716	做爱
717	梦遗
718	阳痿
719	早泄
720	奸淫
721	Bitch
722	bt
723	cao
724	FUCK
725	kao
726	NMD
727	NND
728	sb
729	shit
730	SUCK
731	tmd
732	tnnd
733	K他命
734	白痴
735	笨蛋
736	变态
737	婊子
738	操她妈
739	操妳妈
740	操你
741	操你妈
742	操他妈
743	草你
744	肏
745	册那
746	侧那
747	测拿
748	插
749	蠢猪
750	荡妇
751	发骚
752	废物
753	干她妈
754	干妳
755	干妳娘
756	干你
757	干你妈
758	干你妈B
759	干你妈逼
760	干你娘
761	干他妈
762	狗娘养的
763	滚
764	贱货
765	贱人
766	烂人
767	老母
768	老土
769	妈比
770	妈的
771	马的
772	妳老母的
773	妳娘的
774	你妈逼
775	破鞋
776	仆街
777	去她妈
778	去妳的
779	去妳妈
780	去你的
781	去你妈
782	去死
783	去他妈
784	日
785	日你
786	赛她娘
787	赛妳娘
788	赛你娘
789	赛他娘
790	骚货
791	傻B
792	傻比
793	傻子
794	上妳
795	上你
796	神经病
797	屎
798	屎妳娘
799	屎你娘
800	他妈的
801	王八蛋
802	我操
803	我日
804	乡巴佬
805	猪猡
806	干
807	尿
808	掯
809	操
810	骑你
811	湿了
812	操他
813	操她
814	骑他
815	骑她
816	欠骑
817	欠人骑
818	来爽我
819	来插我
820	干他
821	干她
822	干死
823	干爆
824	干机
825	机叭
826	臭鸡
827	臭机
828	烂鸟
829	览叫
830	阳具
831	肉壶
832	奶子
833	摸咪咪
834	干鸡
835	干入
836	小穴
837	插你
838	爽你
839	干干
840	干X
841	他干
842	干它
843	干牠
844	干您
845	干汝
846	干林
847	操林
848	干尼
849	操尼
850	我咧干
851	干勒
852	干我
853	干到
854	干啦
855	干爽
856	欠干
857	狗干
858	我干
859	来干
860	轮干
861	轮流干
862	干一干
863	援交
864	奸暴
865	再奸
866	我奸
867	奸你
868	奸他
869	奸她
870	奸一奸
871	淫湿
872	鸡歪
873	臭西
874	遗精
875	烂逼
876	大血比
877	叼你妈
878	靠你妈
879	戳你
880	逼你老母
881	挨球
882	我日你
883	草拟妈
884	卖逼
885	狗操卖逼
886	日死
887	奶娘
888	他娘
889	她娘
890	骚B
891	你妈了妹
892	逼毛
893	插你妈
894	叼你
895	渣波波
896	嫩b
897	weelaa
898	缔顺
899	帝顺
900	蒂顺
901	系统消息
902	午夜
903	看下
904	草泥马
905	法克鱿
906	雅蠛蝶
907	潜烈蟹
908	菊花蚕
909	尾申鲸
910	吉跋猫
911	搞栗棒
912	吟稻雁
913	达菲鸡
914	ML
915	3P
916	群P
917	马勒戈壁
918	双飞
919	urban
920	煞笔
921	urban-rivals
922	rivals
923	UR
924	她妈
925	牛逼
926	牛B，牛比
927	傻逼
928	装逼
929	装B
930	日你妈
931	不玩了
932	删号
933	卖号  
934	删 号
935	妈逼
936	草你妈
937	T.M.D
938	JB
939	fuck
940	出售账号
941	出售此号
942	卖号
943	U/R
944	U-R
945	j8
946	吗的
947	8仙
948	狗日
949	出售神符
950	NPC
951	*法*轮*功*
952	*李*洪*志*阿扁
953	阿拉
954	安全局
955	澳洲光明网
956	八九
957	八九风波
958	办理文凭
959	办理证件
960	包皮
961	保钓
962	保监会
963	保密局
964	鸨
965	鲍岳桥
966	暴动
967	暴乱
968	暴徒
969	北京之春
970	贝肉
971	本?拉登
972	苯比
973	笨屄
974	笨逼
975	屄毛
976	逼样
977	比毛
978	婊
979	宾周
980	波霸
981	博讯
982	薄一波
983	布雷尔
984	财政部
985	参事室
986	操GM
987	操XX
988	操逼
989	操比
990	操蛋
991	操你八辈祖宗
992	操你妈屄
993	草的你妈
994	草妈
995	测绘局
996	插GM
997	插妳
998	插深些
999	产权局
1000	朝鲜
1001	车臣
1002	车仑
1003	陈功
1004	陈希同
1005	陈晓宁
1006	成人电影
1007	成人片
1008	吃大便
1009	吃屎
1010	迟浩田
1011	赤匪
1012	抽插
1013	抽你丫的
1014	臭化西
1015	出售假币
1016	出售枪支
1017	出售手枪
1018	春药
1019	粗制吗啡
1020	达赖
1021	打炮
1022	大B
1023	大逼
1024	大便
1025	大波波
1026	大麻树脂
1027	大麻油
1028	大师
1029	戴维教
1030	大学骚乱
1031	大血B
1032	呆卵
1033	戴海静
1034	戴红
1035	戴晶
1036	党主席
1037	档案局
1038	盗窃犯
1039	道教
1040	帝国主义
1041	电监会
1042	屌7
1043	屌鸠
1044	屌毛
1045	屌妳
1046	屌七
1047	屌西
1048	钓鱼台
1049	丁关根
1050	丁子霖
1051	东北独立
1052	东升
1053	东突
1054	东突暴动和独立
1055	东突组织
1056	董建华
1057	董贱华
1058	董文华
1059	懂文华
1060	独立
1061	独立台湾会
1062	二B
1063	二屄
1064	二逼
1065	二乙基酰胺发抡
1066	发抡功
1067	发伦
1068	发伦功
1069	发轮
1070	发论
1071	发论公
1072	发论功
1073	法(轮)功
1074	法*轮*功
1075	法功
1076	法愣
1077	法仑
1078	法西斯
1079	法制办
1080	反动
1081	反革命
1082	反华
1083	反恐委员会
1084	反日
1085	反政府
1086	分裂祖国
1087	佛教
1088	佛展千手法
1089	佛祖
1090	斧头镰刀
1091	阝月
1092	傅鹏
1093	傅作义
1094	干GM
1095	干拎娘
1096	干妳老母
1097	干妳妈
1098	干七八
1099	干死你
1100	肛
1101	港澳办
1102	高俊
1103	高校暴乱
1104	高校群体事件
1105	高校骚乱
1106	睾
1107	睾丸
1108	膏药旗
1109	弓虽女干
1110	公安
1111	公安部
1112	公安局
1113	共产主义
1114	共狗
1115	狗b
1116	狗操
1117	狗卵
1118	狗娘
1119	狗屁
1120	狗日的
1121	狗屎
1122	观世音
1123	官逼民反
1124	官商勾结
1125	龟儿子
1126	龟公
1127	龟孙子
1128	鬼村
1129	国安局
1130	国防部
1131	国防科工委
1132	国管局
1133	国际法院
1134	国家民委
1135	国家主席
1136	国家主要部委
1137	国民党
1138	国民党万岁
1139	海洋局
1140	何候华
1141	黑社会
1142	黑手党
1143	红卫兵
1144	洪兴
1145	洪志
1146	后庭
1147	胡XX
1148	胡紧涛
1149	胡紧掏
1150	胡紧套
1151	胡锦淘
1152	胡乔木
1153	胡主席
1154	花柳
1155	华国锋
1156	换妻
1157	黄　菊
1158	黄色电影
1159	黄色小电影
1160	回教
1161	回民暴动
1162	回族人吃猪肉
1163	昏药
1164	火棒
1165	鸡芭
1166	基督
1167	激情电影
1168	激情小电影
1169	鸡
1170	计牌软件
1171	计生委
1172	妓
1173	妓院
1174	奸夫淫妇
1175	贱
1176	贱逼
1177	江Core
1178	江八
1179	江八点
1180	江独裁
1181	江核心
1182	江戏子
1183	江择民
1184	江贼民
1185	江折民
1186	江猪
1187	江猪媳
1188	江主席
1189	僵贼民
1190	酱猪媳
1191	交通部
1192	姣西
1193	叫床
1194	叫鸡
1195	叫小姐
1196	教育部
1197	她妈的金日成
1198	禁书
1199	经济社会理事会
1200	经社理事会
1201	警匪一家
1202	敬国神社
1203	靖国神社
1204	静坐
1205	纠察员
1206	鸠
1207	鸠屎
1208	军长发威
1209	军国主义
1210	军妓
1211	靠
1212	靠腰
1213	可待因
1214	可卡叶
1215	恐怖份子
1216	恐怖主义
1217	寇晓伟
1218	狂操
1219	狂操你全家
1220	拉登
1221	懒教
1222	烂B
1223	烂屄
1224	烂比
1225	烂屌
1226	烂货
1227	劳+教+所
1228	劳动保障部
1229	老逼
1230	黎阳评
1231	李弘旨
1232	李红志
1233	李宏旨
1234	李宏志
1235	李鹏*
1236	李山
1237	李铁映
1238	李先念
1239	联大
1240	联合国
1241	联合国大会
1242	联易
1243	联易互动
1244	粮食局
1245	两腿之间
1246	林业局
1247	刘　淇
1248	刘军
1249	流氓
1250	六.四
1251	六。四
1252	六?四
1253	六合彩
1254	六-四
1255	六四事件
1256	六四真相
1257	龙新民
1258	旅游局
1259	卵
1260	轮功
1261	罗　干
1262	骡干
1263	妈卖妈屁
1264	妈批
1265	妈祖
1266	妈B
1267	麻醉钢枪
1268	麻醉枪
1269	麻醉药
1270	麻醉乙醚
1271	马卖马屁
1272	吗啡
1273	吗啡碱
1274	吗啡片
1275	买财富
1276	买卖枪支
1277	麦角酸
1278	卖.国
1279	卖B
1280	卖ID
1281	卖QQ
1282	卖比
1283	卖财富
1284	卖党求荣
1285	卖国
1286	卖国求荣
1287	卖卡
1288	卖软件
1289	毛XX
1290	毛厕洞
1291	毛一鲜
1292	毛贼东
1293	毛主席
1294	梅花网
1295	美国
1296	美国佬
1297	美利坚
1298	蒙尘药
1299	蒙独
1300	蒙古达子
1301	蒙古独立
1302	迷魂药
1303	迷奸药
1304	迷歼药
1305	迷药
1306	密洞
1307	民航局
1308	民政部
1309	莫索里尼
1310	穆斯林
1311	妳妈的
1312	妳马的
1313	南联盟
1314	南蛮子
1315	伱妈
1316	你爸
1317	你大爷
1318	你二大爷
1319	你老母
1320	你老味
1321	你姥
1322	你姥姥的
1323	你妈
1324	你妈的
1325	你娘
1326	你爷爷的
1327	鸟GM
1328	鸟你
1329	牛比
1330	农业部
1331	虐待
1332	拍肩神药
1333	喷你
1334	彭真
1335	皮条
1336	嫖客
1337	苹果日报
1338	破坏
1339	气象局
1340	钱其琛
1341	枪决女犯
1342	枪决现场
1343	枪支弹药
1344	强效失意药
1345	强硬发言
1346	乔石
1347	侨办
1348	切七
1349	窃听器
1350	窃听器材
1351	青天白日
1352	去你妈的
1353	全国人大
1354	人大
1355	人大代表
1356	人代会
1357	人弹
1358	人民
1359	人民大会堂
1360	人民广场
1361	人民日报
1362	人民银行
1363	人体炸弹
1364	日GM
1365	日X妈
1366	日本RING
1367	日本鬼子
1368	日你娘
1369	日他娘
1370	肉壁
1371	肉洞
1372	肉缝
1373	肉棍
1374	肉棍子
1375	肉穴
1376	乳
1377	乳波臀浪
1378	撒尿
1379	塞白
1380	塞你爸
1381	塞你公
1382	塞你老母
1383	塞你老师
1384	塞你母
1385	塞你娘
1386	三个呆婊
1387	三个代婊
1388	三级片
1389	三民主义
1390	三陪女
1391	三去车仑
1392	三唑仑
1393	骚
1394	骚逼
1395	色情电影
1396	色情服务
1397	色情小电影
1398	杀人犯
1399	傻屄
1400	傻吊
1401	傻卵
1402	煞逼
1403	商务部
1404	社科院
1405	身份生成器
1406	神通加持法
1407	生鸦片
1408	圣女峰
1409	十八摸
1410	十年动乱石进
1411	食捻屎
1412	食屎
1413	驶你爸
1414	驶你公
1415	驶你老母
1416	驶你老师
1417	驶你母
1418	驶你娘
1419	是鸡
1420	受虐狂
1421	售ID
1422	售号
1423	售软件
1424	双峰微颤
1425	氵去
1426	水利部
1427	水去车仑
1428	税务总局
1429	司法部
1430	私服
1431	私/服
1432	私\\服
1433	私-服
1434	私—服
1435	死gd
1436	死gm
1437	死全家
1438	四川独立
1439	四人帮
1440	宋祖英
1441	他爹
1442	他妈
1443	他马的
1444	他母亲
1445	他祖宗
1446	台办
1447	台湾党
1448	台湾帝国
1449	台湾共产党
1450	台湾共和国
1451	台湾狗
1452	太监
1453	天皇陛下
1454	田纪云
1455	舔西
1456	投毒杀人
1457	透视软件
1458	推油
1459	外　挂
1460	外挂
1461	外/挂
1462	外\\挂
1463	外_挂
1464	外-挂
1465	外—挂
1466	外汇局
1467	外交部
1468	外专局
1469	晚年周恩来
1470	万税
1471	王宝森
1472	王昊
1473	王太华
1474	王震
1475	网管
1476	卫生部
1477	温加宝
1478	温家保
1479	温馨
1480	温总理
1481	文化部
1482	文物局
1483	倭国
1484	倭寇
1485	我操你
1486	我妳老爸
1487	无界浏览器
1488	吴　仪
1489	五星红旗
1490	西藏天葬
1491	希望之声
1492	洗脑班
1493	系统
1494	系统公告
1495	系统讯息
1496	鲜族
1497	想上你
1498	小鸡鸡
1499	小泉纯一郎
1500	小日本
1501	小肉粒
1502	小乳头
1503	邪教
1504	兴奋剂
1505	性爱
1506	性虐待
1507	性无能
1508	徐光春
1509	血逼
1510	血腥图片
1511	鸦片液
1512	鸦片渣
1513	烟草局
1514	严方军
1515	阳精
1516	摇头玩
1517	耶苏
1518	夜情
1519	一党专制
1520	一国两制
1521	伊拉克
1522	伊朗
1523	以茎至洞
1524	抑制剂
1525	阴毛
1526	阴水
1527	阴小撕大
1528	淫荡
1529	淫货
1530	淫贱
1531	淫叫
1532	淫毛
1533	淫靡
1534	淫语连连
1535	淫欲
1536	英雄纪念碑
1537	硬挺
1538	邮政局
1539	游戏发奖员
1540	游戏宫理员
1541	游戏管理员
1542	舆论钳制
1543	玉杵
1544	欲火焚身
1545	原子能机构
1546	远程偷拍
1547	曰GM
1548	曰你
1549	月经
1550	月经不调
1551	扎卡维是英雄
1552	杂种
1553	扎卡维
1554	张朝阳
1555	张潮阳
1556	张磊
1557	张小平
1558	侦探设备
1559	中国恐怖组织
1560	中华民国
1561	中南海
1562	中宣部
1563	周总理
1564	朱容鸡
1565	朱容基
1566	朱熔基
1567	朱总理
1568	猪操
1569	猪容基
1570	主席
1571	装屄
1572	追查国际
1573	子女任职名单
1574	自杀手册
1575	自杀指南
1576	自制手枪
1577	自治机关
1578	宗教
1579	总局
1580	总理
1581	作爱
1582	坐台的
1583	操逼毛
1584	牛B
1585	垃圾游戏
1586	烂游戏
1587	淘宝
1588	c a o
1589	h站
1590	龙虎
1591	虎门
1592	龙 虎 门
1593	WEB牌戰
1594	WEB战牌
1595	战牌
1596	8 仙
1597	ＵＲ
1598	街头对抗
1599	混 沌决
1600	自制手枪，你大爷
1601	社.会.正.义.力.量
1602	社保基金会
1603	社会主义
1604	审计署
1605	升达毕业证
1606	生春袋
1607	生孩子没屁眼
1608	湿透的内裤
1609	十年动乱
1610	十五周年
1611	石进
1612	世界日报
1613	手机复制
1614	特别公告
1615	特码
1616	体育总局
1617	天安门
1618	天安门档案
1619	天安门录像带
1620	天安门屠杀
1621	天安门一代
1622	天鹅之旅
1623	天皇
1624	铁道部
1625	统计局
1626	正见网
1627	正清网
1628	正悟网
1629	证监会
1630	政协
1631	值勤
1632	值勤账号
1633	指导员
1634	质检局
1635	致幻剂
1636	中共中央
1637	中国共产党
1638	中华人民共和国
1639	中科院
1640	中央
1641	中央电视台
1642	中央政治局
1643	中医药局
1644	自由亚洲电台
1645	自由之门
1646	@sshole
1647	a$$hole
1648	a$shole
1649	Admin
1650	as$hole
1651	ASS
1652	asshole
1653	bastard
1654	bbscity
1655	beijingspring
1656	bignews
1657	bjzc
1658	boxun
1659	butthead
1660	butthole
1661	cctv
1662	cdjp
1663	chengmingmag
1664	chinesenewsweek
1665	cunt
1666	dajiyuan
1667	damm
1668	damn
1669	epochtimes
1670	F.L.G
1671	falun
1672	fawanghuihui
1673	fgmtv
1674	flg
1675	fofg
1676	fosaon
1677	fu(
1678	fuc
1679	FUCKYOU
1680	fuk
1681	fv(
1682	fvc
1683	gamemaster
1684	ＧＡＭＥ　ｍａｓｔｅｒ
1685	GameMaste
1686	gc365
1687	globalrescue
1688	Gm
1689	minghui
1690	mingpaonews
1691	minhui
1692	on9
1693	orgasmus
1694	peacehall
1695	phuc
1696	piss
1697	PUSSY
1698	renminbao
1699	ri
1700	screw
1701	secretchina
1702	sega
1703	sf
1704	sh!t
1705	shengda
1706	shyt
1707	snatch
1708	soundofhope
1709	WG
1710	xinguangming
1711	xinsheng
1712	yuanming
1713	zhengjian
1714	zhengqing
1715	zhengwunet
1716	zhongguohun
1717	pps
1718	爱 滋
1719	小 穴
1720	法 轮 功
1721	共 产 党
1722	政 治
1723	卡 耐 基
1724	李 总 理 
1725	李 总 统 
1726	论 公 
1727	论 功 
1728	论 攻
1729	論 公
1730	論 功
1731	論 攻
1732	涛 哥
1733	万 亦 凡
1734	青 春 妇 
1735	护 士
1736	黄 色江
1737	江 泽 民
1738	毛 泽 东
1739	裸 聊
1740	淫 水
1741	内 衣 秀
1742	公 安 局
1743	派 出 所
1744	黄 色 小 说
1745	陈 水 扁
1746	马 的 阳具
1747	阳 萎
1748	野 鸡
1749	阴 部
1750	阴 唇
1751	阴 茎
1752	阴 毛
1753	淫 荡
1754	淫 妇
1755	淫 秽
1756	淫 西
1757	月 经
1758	杂 种
1759	招 妓
1760	祖 宗
1761	做 爱
1762	回 民 吃 猪 肉
1763	台 独
1764	台 湾 独 立
1765	疆 独
1766	藏 独
1767	周 恩 来
1768	邓 小 平
1769	习 近 平
1770	温 家 宝
1771	胡 锦 涛
1772	强 奸
1773	手 枪
1774	自 杀
1775	海 洛 因
1776	枪 支
1777	入 党
1778	国 家
1779	炸 药
1780	独 裁
1781	狗 日 的
1782	胡 主 席
1783	反 共
1784	鸡 巴
1785	迷 幻 药
1786	贱 人
1787	恐 怖 组 织
1788	犯 罪
1789	枪 毙
1790	民 权
1791	特 码
1792	四 人 帮
1793	子 弹
1794	周 总 理
1795	穆 斯 林
1796	连 战
1797	马 英 九
1798	赌 博
1799	骚 货
1800	贱 货
1801	开 枪
1802	腐 败
1803	总 书 记
1804	氯 胺 酮
1805	雷 管
1806	引 爆
1807	盗 窃
1808	刑 法
1809	死 刑
1810	摇 头 丸
1811	K 粉
1812	妖 术
1813	鸦 片
1814	违 法
1815	八 路 军
1816	非 法
1817	政 府
1818	间 谍
1819	导 弹
1820	邪 教
1821	推 翻
1822	李 长 春
1823	朱 镕 基
1824	新 疆 独 立
1825	西 藏 分 裂
1826	造 反
1827	政 变
1828	色 情
1829	嫖 娼
1830	卖 淫
1831	游 行
1832	自 焚
1833	垮 台
1834	镇 压
1835	东 突
1836	共 匪
1837	天 安 门
1838	梵 蒂 冈
1839	颠 覆
1840	人 权
1841	治 安
1842	报 仇
1843	侮 辱
1844	出 卖
1845	诋 毁
1846	性 病
1847	原 子 弹
1848	成 人 电 影
